CAR,RPM,ENG_L,COL_P,VEL,TPS,ENG_T,CONN,QUALITY
MIT_Lancer,769,41,8,150,6,142,-21,EXCELENTE
MIT_Lancer,6961,84,12,127,76,117,-24,EXCELENTE
MIT_Lancer,4615,41,2,112,40,173,-23,EXCELENTE
MIT_Lancer,7106,93,2,75,69,155,-33,MUITO BOM
MIT_Lancer,4789,99,2,52,34,88,-21,EXCELENTE
MIT_Lancer,5806,81,10,196,30,85,-21,EXCELENTE
MIT_Lancer,2131,86,4,137,34,113,-34,MUITO BOM
MIT_Lancer,6744,95,7,76,76,93,-22,EXCELENTE
MIT_Lancer,4017,76,3,198,73,111,-22,EXCELENTE
MIT_Lancer,3298,4,12,45,69,119,-21,EXCELENTE
MIT_Lancer,1259,33,12,180,46,177,-20,EXCELENTE
MIT_Lancer,75,35,2,85,72,172,-26,EXCELENTE
